transaction_id,customer_id,transaction_date,amount,transaction_type,status,transaction_month,customer_name,city,state,registration_date
T001,C001,2024-08-01,1500.5,RECHARGE,SUCCESS,2024-08,Ravi Kumar,Bangalore,Karnataka,2024-01-15
T002,C002,2024-08-02,850.0,BILL_PAYMENT,SUCCESS,2024-08,Anitha Rao,Chennai,Tamil Nadu,2024-02-10
T003,C003,2024-08-03,2200.75,RECHARGE,SUCCESS,2024-08,John Smith,Hyderabad,Telangana,2024-03-05
T004,C001,2024-08-04,450.0,BILL_PAYMENT,FAILED,2024-08,Ravi Kumar,Bangalore,Karnataka,2024-01-15
T005,C004,2024-08-05,1200.0,RECHARGE,SUCCESS,2024-08,Priya Sharma,Pune,Maharashtra,2024-03-20
T006,C005,2024-08-06,750.25,BILL_PAYMENT,SUCCESS,2024-08,Arun Kumar,Bangalore,Karnataka,2024-04-12
T007,C006,2024-08-07,3100.0,RECHARGE,SUCCESS,2024-08,Meena Reddy,Hyderabad,Telangana,2024-05-18
T008,C007,2024-08-08,950.5,BILL_PAYMENT,SUCCESS,2024-08,Rahul Das,Kolkata,West Bengal,2024-06-22
T009,C008,2024-08-09,1800.0,RECHARGE,SUCCESS,2024-08,Sneha Patel,Mumbai,Maharashtra,2024-07-10
T010,C009,2024-08-10,650.75,BILL_PAYMENT,SUCCESS,2024-08,Vikram Singh,Delhi,Delhi,2024-08-14
T011,C010,2024-08-11,2750.0,RECHARGE,SUCCESS,2024-08,Kavya Nair,Kochi,Kerala,2024-09-01
T012,C003,2024-08-12,500.0,BILL_PAYMENT,SUCCESS,2024-08,John Smith,Hyderabad,Telangana,2024-03-05
T013,C005,2024-08-13,900.0,RECHARGE,SUCCESS,2024-08,Arun Kumar,Bangalore,Karnataka,2024-04-12
T014,C002,2024-08-14,1100.5,BILL_PAYMENT,SUCCESS,2024-08,Anitha Rao,Chennai,Tamil Nadu,2024-02-10
T015,C004,2024-08-15,2500.0,RECHARGE,SUCCESS,2024-08,Priya Sharma,Pune,Maharashtra,2024-03-20
